file,name,DIST_CODE,VIL_CODE,QRTR_CODE,QRTR_NM_E,QRTR_NM_G,VIL_CCD,QRTR_CCD,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
DIMOS_LAPITHOU_AGIA_PARASKEVI.kml,DIMOS LAPITHOU AGIA PARASKEVI,2,222,1,AGIA PARASKEVI,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,2222,222201,1,438,33.1609,35.3347,19203,
DIMOS_LAPITHOU_AGIOS_LOUKAS.kml,DIMOS LAPITHOU AGIOS LOUKAS,2,222,3,AGIOS LOUKAS,ΑΓΙΟΣ ΛΟΥΚΑΣ,2222,222203,1,638,33.1813,35.3397,26766,
DIMOS_LAPITHOU_AGIOS_MINAS.kml,DIMOS LAPITHOU AGIOS MINAS,2,222,2,AGIOS MINAS,ΑΓΙΟΣ ΜΗΝΑΣ,2222,222202,1,159,33.1834,35.3385,8657,
DIMOS_LAPITHOU_AGIOS_THEODOROS.kml,DIMOS LAPITHOU AGIOS THEODOROS,2,222,5,AGIOS THEODOROS,ΑΓΟΣ ΘΕΟΔΩΡΟΣ,2222,222205,1,797,33.1545,35.348,32744,
DIMOS_LAPITHOU_PRODROMOS.kml,DIMOS LAPITHOU PRODROMOS,2,222,7,PRODROMOS,ΠΡΟΔΡΟΜΟΣ,2222,222207,1,204,33.1725,35.3376,10329,
DIMOS_LAPITHOU_TOURKIKI_SYNOIKIA.kml,DIMOS LAPITHOU TOURKIKI SYNOIKIA,2,222,6,TOURKIKI SYNOIKIA,ΤΟΥΡΚΙΚΗ ΣΥΝΟΙΚΙΑ,2222,222206,1,367,33.1714,35.3413,16535,
DIMOS_MORFOU_AGIA_PARASKEVI.kml,DIMOS MORFOU AGIA PARASKEVI,1,340,1,AGIA PARASKEVI,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,1340,134001,1,565,33.01,35.1964,24013,
DIMOS_MORFOU_AGIOS_GEORGIOS.kml,DIMOS MORFOU AGIOS GEORGIOS,1,340,2,AGIOS GEORGIOS,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,1340,134002,1,953,32.9704,35.2398,38663,
DIMOS_MORFOU_AGIOS_MAMAS.kml,DIMOS MORFOU AGIOS MAMAS,1,340,3,AGIOS MAMAS,ΑΓΙΟΣ ΜΑΜΑΣ,1340,134003,1,741,32.9682,35.197,30633,
DIMOS_MORFOU_CHRYSILIOU.kml,DIMOS MORFOU CHRYSILIOU,1,340,4,CHRYSILIOU,ΧΡΥΣΗΛΙΟΥ,1340,134004,1,321,33.0228,35.2163,14768,
DROMOLAXIA_MENEOU_D_XIA_MENEOU_DROMOLAXIA.kml,"DROMOLAXIA-MENEOU,D/XIA-MENEOU DROMOLAXIA",4,14,1,DROMOLAXIA,ΔΡΟΜΟΛΑΞΙΑ,4014,401401,1,617,33.5885,34.8895,25982,
DROMOLAXIA_MENEOU_D_XIA_MENEOU_MENEOU.kml,"DROMOLAXIA-MENEOU,D/XIA-MENEOU MENEOU",4,14,2,MENEOU,ΜΕΝΕΟΥ,4014,401402,1,389,33.6023,34.853,17330,
KARAVOSTASI_POTAMOS_TOU_KAMPOU.kml,KARAVOSTASI POTAMOS TOU KAMPOU,1,439,3,POTAMOS TOU KAMPOU,ΠΟΤΑΜΟΣ ΤΟΥ ΚΑΜΠΟΥ,1439,143903,1,361,32.8018,35.1426,16338,
KARAVOSTASI_SOLOI.kml,KARAVOSTASI SOLOI,1,439,1,SOLOI,ΣΟΛΟΙ,1439,143901,1,489,32.8189,35.1404,21084,
KARAVOSTASI_XEROS.kml,KARAVOSTASI XEROS,1,439,2,XEROS,ΞΕΡΟΣ,1439,143902,1,397,32.8383,35.1415,17608,
KOURIO_KOLOSSI_AGIOS_LOUKAS.kml,"KOURIO, KOLOSSI AGIOS LOUKAS",5,210,2,AGIOS LOUKAS,ΑΓΙΟΣ ΛΟΥΚΑΣ,5210,521002,1,636,32.9367,34.6722,26676,
KOURIO_KOLOSSI_APOSTOLOS_ANDREAS.kml,"KOURIO, KOLOSSI APOSTOLOS ANDREAS",5,210,1,APOSTOLOS ANDREAS,ΑΠΟΣΤΟΛΟΣ ΑΝΔΡΕΑΣ,5210,521001,1,111,32.944,34.6808,6872,
LAKATAMEIA_LAKATAMEIA_AGIA_PARASKEVI.kml,"LAKATAMEIA, LAKATAMEIA AGIA PARASKEVI",1,21,2,AGIA PARASKEVI,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,1021,102102,1,913,33.3319,35.1065,37153,
LAKATAMEIA_LAKATAMEIA_AGIOS_MAMAS.kml,"LAKATAMEIA, LAKATAMEIA AGIOS MAMAS",1,21,1,AGIOS MAMAS,ΑΓΙΟΣ ΜΑΜΑΣ,1021,102101,1,103,33.3188,35.1284,6551,
LAKATAMEIA_LAKATAMEIA_AGIOS_NIKOLAOS.kml,"LAKATAMEIA, LAKATAMEIA AGIOS NIKOLAOS",1,21,4,AGIOS NIKOLAOS,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,1021,102104,1,623,33.3061,35.0963,26230,
LAKATAMEIA_LAKATAMEIA_ARCHANG_ANTHOUPOLI.kml,"LAKATAMEIA, LAKATAMEIA ARCHANG. ANTHOUPOLI",1,21,3,ARCHANG. ANTHOUPOLI,ΑΡΧΑΓΓ. ΑΝΘΟΥΠΟΛΗ,1021,102103,1,982,33.285,35.1258,39810,
LARNAKA_LARNAKA_AGIOI_ANARGYROI_I.kml,"LARNAKA, LARNAKA AGIOI ANARGYROI I",4,0,8,AGIOI ANARGYROI I,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ Ι,4000,400008,1,82,33.6239,34.9388,5766,
