file,name,DIST_CODE,VIL_CODE,QRTR_CODE,QRTR_NM_E,QRTR_NM_G,VIL_CCD,QRTR_CCD,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
LEMESOS_LEMESOS_AP_PETROS_AND_PAVLOS.kml,"LEMESOS, LEMESOS AP PETROS AND PAVLOS",5,0,11,AP PETROS AND PAVLOS,ΑΠ ΠΕΤΡΟΣ ΚΑΙ ΠΑΥΛΟΣ,5000,500011,1,190,33.0273,34.695,9857,
LEMESOS_LEMESOS_ARNAOUTOGEITONIA.kml,"LEMESOS, LEMESOS ARNAOUTOGEITONIA",5,0,3,ARNAOUTOGEITONIA,ΑΡΝΑΟΥΤΟΓΕΙΤΟΝΙΑ,5000,500003,1,111,33.0334,34.6747,6861,
LEMESOS_LEMESOS_KAPSALOS.kml,"LEMESOS, LEMESOS KAPSALOS",5,0,12,KAPSALOS,ΚΑΨΑΛΟΣ,5000,500012,1,190,33.0352,34.6995,9803,
LEMESOS_LEMESOS_KATHOLIKI.kml,"LEMESOS, LEMESOS KATHOLIKI",5,0,5,KATHOLIKI,ΚΑΘΟΛΙΚΗ,5000,500005,1,193,33.0368,34.6781,9928,
LEMESOS_LEMESOS_NEAPOLI.kml,"LEMESOS, LEMESOS NEAPOLI",5,0,16,NEAPOLI,ΝΕΑΠΟΛΗ,5000,500016,1,137,33.0637,34.6894,7809,
LEMESOS_LEMESOS_OMONOIA.kml,"LEMESOS, LEMESOS OMONOIA",5,0,8,OMONOIA,ΟΜΟΝΟΙΑ,5000,500008,1,115,33.0185,34.6696,6969,
LEMESOS_LEMESOS_PANAG_EVANGELISTRIA.kml,"LEMESOS, LEMESOS PANAG EVANGELISTRIA",5,0,19,PANAG EVANGELISTRIA,ΠΑΝΑΓ ΕΥΑΓΓΕΛΙΣΤΡΙΑ,5000,500019,1,132,33.0039,34.7126,7677,
LEMESOS_LEMESOS_TSIFLIKOUDIA.kml,"LEMESOS, LEMESOS TSIFLIKOUDIA",5,0,7,TSIFLIKOUDIA,ΤΣΙΦΛΙΚΟΥΔΙΑ,5000,500007,1,228,33.0227,34.6601,11262,
LEMESOS_LEMESOS_TZAMI_TZENTIT.kml,"LEMESOS, LEMESOS TZAMI TZENTIT",5,0,2,TZAMI TZENTIT,ΤΖΑΜΙ ΤΖΕΝΤΙΤ,5000,500002,1,186,33.0391,34.6718,9689,
LEMESOS_LEMESOS_ZAKAKI.kml,"LEMESOS, LEMESOS ZAKAKI",5,0,21,ZAKAKI,ΖΑΚΑΚΙ,5000,500021,1,323,33.0121,34.653,14816,
LEMESOS_MESA_GEITONIA_CHALKOUTSA.kml,"LEMESOS, MESA GEITONIA CHALKOUTSA",5,11,2,CHALKOUTSA,ΧΑΛΚΟΥΤΣΑ,5011,501102,1,275,33.0561,34.6959,13042,
LEMESOS_MESA_GEITONIA_KONTOVATHKEIA.kml,"LEMESOS, MESA GEITONIA KONTOVATHKEIA",5,11,1,KONTOVATHKEIA,ΚΟΝΤΟΒΑΘΚΕΙΑ,5011,501101,1,138,33.042,34.699,7874,
LEMESOS_MESA_GEITONIA_PANTHEA.kml,"LEMESOS, MESA GEITONIA PANTHEA",5,11,4,PANTHEA,ΠΑΝΘΕΑ,5011,501104,1,404,33.0369,34.7185,17885,
LEMESOS_MESA_GEITONIA_TIMIOU_PRODROMOU.kml,"LEMESOS, MESA GEITONIA TIMIOU PRODROMOU",5,11,3,TIMIOU PRODROMOU,ΤΙΜΙΟΥ ΠΡΟΔΡΟΜΟΥ,5011,501103,1,148,33.0518,34.7014,8267,
NOTIA_L_SIA_IDALION_IDALION_AG_KONST_AND_ELENIS.kml,"NOTIA L/SIA - IDALION, IDALION AG KONST. AND ELENIS",1,107,1,AG KONST. AND ELENIS,ΑΓ ΚΩΝΣΤ. ΚΑΙ ΕΛΕΝΗΣ,1107,110701,1,556,33.3886,35.0674,23710,
NOTIA_L_SIA_IDALION_IDALION_PANAG_EVANGELISTRIA.kml,"NOTIA L/SIA - IDALION, IDALION PANAG. EVANGELISTRIA",1,107,2,PANAG. EVANGELISTRIA,ΠΑΝΑΓ. ΕΥΑΓΓΕΛΙΣΤΡΙΑ,1107,110702,1,1998,33.4155,35.0433,78180,
PAFOS_AGIOS_PAVLOS.kml,PAFOS AGIOS PAVLOS,6,0,2,AGIOS PAVLOS,ΑΓΙΟΣ ΠΑΥΛΟΣ,6000,600002,1,286,32.432,34.7875,13420,
PAFOS_AGIOS_THEODOROS.kml,PAFOS AGIOS THEODOROS,6,0,3,AGIOS THEODOROS,ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ,6000,600003,1,980,32.4194,34.7728,39662,
PAFOS_ANAVARGOS.kml,PAFOS ANAVARGOS,6,0,5,ANAVARGOS,ΑΝΑΒΑΡΓΟΣ,6000,600005,1,638,32.4533,34.7939,26694,
PAFOS_KATO_PAFOS.kml,PAFOS KATO PAFOS,6,0,4,KATO PAFOS,ΚΑΤΩ ΠΑΦΟΣ,6000,600004,1,2148,32.4128,34.7539,83787,
PAFOS_MOUTTALOS.kml,PAFOS MOUTTALOS,6,0,1,MOUTTALOS,ΜΟΥΤΤΑΛΟΣ,6000,600001,1,1159,32.4071,34.7825,46411,
POLEMIDIA_KATO_POLEMIDIA_AGIOS_NIKOLAOS.kml,"POLEMIDIA, KATO POLEMIDIA AGIOS NIKOLAOS",5,22,5,AGIOS NIKOLAOS,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,5022,502205,1,248,32.9797,34.7005,12047,
POLEMIDIA_KATO_POLEMIDIA_ANTHOUPOLIS.kml,"POLEMIDIA, KATO POLEMIDIA ANTHOUPOLIS",5,22,2,ANTHOUPOLIS,ΑΝΘΟΥΠΟΛΙΣ,5022,502202,1,109,32.9844,34.6858,6778,
POLEMIDIA_KATO_POLEMIDIA_APOSTOLOS_VARNAVAS.kml,"POLEMIDIA, KATO POLEMIDIA APOSTOLOS VARNAVAS",5,22,3,APOSTOLOS VARNAVAS,ΑΠΟΣΤΟΛΟΣ ΒΑΡΝΑΒΑΣ,5022,502203,1,84,33.0033,34.6808,5874,
POLEMIDIA_KATO_POLEMIDIA_ARCHANGELOS_MICHAIL.kml,"POLEMIDIA, KATO POLEMIDIA ARCHANGELOS MICHAIL",5,22,1,ARCHANGELOS MICHAIL,ΑΡΧΑΓΓΕΛΟΣ ΜΙΧΑΗΛ,5022,502201,1,283,32.9923,34.6673,13409,
POLEMIDIA_KATO_POLEMIDIA_MAKARIOS_III.kml,"POLEMIDIA, KATO POLEMIDIA MAKARIOS III",5,22,4,MAKARIOS III,ΜΑΚΑΡΙΟΣ ΙΙΙ,5022,502204,1,100,33.0141,34.686,6445,
POLEMIDIA_KATO_POLEMIDIA_PAN_EVANGELISTRIA.kml,"POLEMIDIA, KATO POLEMIDIA PAN. EVANGELISTRIA",5,22,6,PAN. EVANGELISTRIA,ΠΑΝ. ΕΥΑΓΓΕΛΙΣΤΡΙΑ,5022,502206,1,622,32.9795,34.7143,26202,
POLI_CHRYSOCHOUS_POLI_CHRYSOCHOUS_POLIS_CHRYSOCHOUS.kml,"POLI CHRYSOCHOUS, POLI CHRYSOCHOUS POLIS CHRYSOCHOUS",6,343,1,POLIS CHRYSOCHOUS,ΠΟΛΙΣ ΧΡΥΣΟΧΟΥΣ,6343,634301,1,879,32.4366,35.0389,35871,
POLI_CHRYSOCHOUS_POLI_CHRYSOCHOUS_PRODROMI.kml,"POLI CHRYSOCHOUS, POLI CHRYSOCHOUS PRODROMI",6,343,2,PRODROMI,ΠΡΟΔΡΟΜΙ,6343,634302,1,467,32.4077,35.0228,20298,
PRASTIO_LEFKOSIAS_AGIOS_GEORGIOS.kml,PRASTIO LEFKOSIAS AGIOS GEORGIOS,1,353,1,AGIOS GEORGIOS,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,1353,135301,1,875,32.9331,35.1746,35730,
PRASTIO_LEFKOSIAS_NEO_LIVADI.kml,PRASTIO LEFKOSIAS NEO LIVADI,1,353,2,NEO LIVADI,ΝΕΟ ΛΙΒΑΔΙ,1353,135302,1,274,32.9355,35.1819,12989,
RIZOKARPASO_AFENTRIKA.kml,RIZOKARPASO AFENTRIKA,3,356,4,AFENTRIKA,ΑΦΕΝΤΡΙΚΑ,3356,335604,7,1428,34.4547,35.6511,57919,
RIZOKARPASO_AGIA_TRIADA.kml,RIZOKARPASO AGIA TRIADA,3,356,3,AGIA TRIADA,ΑΓΙΑ ΤΡΙΑΔΑ,3356,335603,2,1339,34.4152,35.63,53436,
RIZOKARPASO_ANAVRYSI.kml,RIZOKARPASO ANAVRYSI,3,356,2,ANAVRYSI,ΑΝΑΒΡΥΣΗ,3356,335602,1,2139,34.3443,35.5672,83405,
RIZOKARPASO_LEKO.kml,RIZOKARPASO LEKO,3,356,1,LEKO,ΛΕΚΟ,3356,335601,32,4776,34.4921,35.6335,189993,
SPILIA_AGIOS_ANTONIOS.kml,SPILIA AGIOS ANTONIOS,1,400,1,AGIOS ANTONIOS,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,1400,140001,1,887,32.939,34.9541,36145,
SPILIA_KOURDALI.kml,SPILIA KOURDALI,1,400,2,KOURDALI,ΚΟΥΡΔΑΛΗ,1400,140002,1,268,32.9403,34.9812,12732,
STROVOLOS_AGIOS_DIMITRIOS.kml,STROVOLOS AGIOS DIMITRIOS,1,12,2,AGIOS DIMITRIOS,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,1012,101202,1,193,33.3621,35.152,9947,
STROVOLOS_AGIOS_VASILEIOS.kml,STROVOLOS AGIOS VASILEIOS,1,12,4,AGIOS VASILEIOS,ΑΓΙΟΣ ΒΑΣΙΛΕΙΟΣ,1012,101204,1,591,33.3404,35.1228,25095,
STROVOLOS_AP_VARN_AG_MAKAR.kml,STROVOLOS AP.VARN. & AG.MAKAR.,1,12,3,AP.VARN. & AG.MAKAR.,ΑΠ.ΒΑΡΝ. & ΑΓ.ΜΑΚΑΡ.,1012,101203,1,749,33.3612,35.1227,31123,
STROVOLOS_CHRYSELEOUSA.kml,STROVOLOS CHRYSELEOUSA,1,12,1,CHRYSELEOUSA,ΧΡΥΣΕΛΕΟΥΣΑ,1012,101201,1,480,33.3325,35.1481,20765,
STROVOLOS_ETHNOMAR_KYPRIANOS.kml,STROVOLOS ETHNOMAR. KYPRIANOS,1,12,5,ETHNOMAR. KYPRIANOS,ΕΘΝΟΜΑΡΤ. ΚΥΠΡΙΑΝΟΣ,1012,101205,1,132,33.3473,35.1271,7653,
STROVOLOS_STAVROS.kml,STROVOLOS STAVROS,1,12,6,STAVROS,ΣΤΑΥΡΟΣ,1012,101206,1,102,33.3639,35.1314,6468,
XEROVOUNOS_LIMNITIS.kml,XEROVOUNOS LIMNITIS,1,452,1,LIMNITIS,ΛΙΜΝΙΤΗΣ,1452,145201,2,620,32.7319,35.1701,26255,
XEROVOUNOS_MOUTTI.kml,XEROVOUNOS MOUTTI,1,452,2,MOUTTI,MOYTTH,1452,145202,1,881,32.7229,35.1243,35869,
