file,name,DIST_CODE,VIL_CODE,VIL_CCD,VIL_NM_E,VIL_NM_G,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
KONTEMENOS.kml,KONTEMENOS,2,122,2122,KONTEMENOS,ΚΟΝΤΕΜΕΝΟΣ,1,1075,33.1368,35.2663,43035,
KORAKOU.kml,KORAKOU,1,410,1410,KORAKOU,ΚΟΡΑΚΟΥ,1,1067,32.8782,35.0426,42686,
KORFI.kml,KORFI,5,108,5108,KORFI,ΚΟΡΦΗ,1,726,32.9638,34.7926,29842,
KORMAKITIS.kml,KORMAKITIS,2,129,2129,KORMAKITIS,ΚΟΡΜΑΚΙΤΗΣ,1,2466,32.9779,35.3419,95580,
KORNOKIPOS.kml,KORNOKIPOS,3,237,3237,KORNOKIPOS,ΚΟΡΝΟΚΗΠΟΣ,1,1099,33.5732,35.2599,43930,
KOROVEIA.kml,KOROVEIA,3,354,3354,KOROVEIA,ΚΟΡΟΒΕΙΑ,1,1241,34.2735,35.4985,49306,
KOSI.kml,KOSI,4,217,4217,KOSI,ΚΟΣΗ,1,619,33.5113,34.9771,25776,
KOTSIATIS.kml,KOTSIATIS,1,104,1104,KOTSIATIS,ΚΟΤΣΙΑΤΗΣ,1,570,33.3451,35.0123,23967,
KOUKA.kml,KOUKA,5,317,5317,KOUKA,ΚΟΥΚΑ,1,199,32.8917,34.8524,9909,
KOUKLIA_AMMOCHOSTO.kml,KOUKLIA AMMOCHOSTO,3,200,3200,KOUKLIA AMMOCHOSTO,ΚΟΥΚΛΙΑ ΑΜΜΟΧΩΣΤΟΥ,1,600,33.7517,35.112,25106,
KOUKLIA_PAFOU.kml,KOUKLIA PAFOU,6,100,6100,KOUKLIA PAFOU,ΚΟΥΚΛΙΑ ΠΑΦΟΥ,1,1849,32.5951,34.6881,72257,
KOURDAKA.kml,KOURDAKA,6,127,6127,KOURDAKA,ΚΟΥΡΔΑΚΑ,1,274,32.5365,34.8596,12765,
KOURIO_AKROTIRI.kml,"KOURIO, AKROTIRI",5,200,5200,"KOURIO, AKROTIRI","ΚΟΥΡΙΟ, ΑΚΡΩΤΗΡΙ",1,1323,32.9649,34.5859,52484,
KOURIO_ASOMATOS.kml,"KOURIO, ASOMATOS",5,201,5201,"KOURIO, ASOMATOS","ΚΟΥΡΙΟ, ΑΣΩΜΑΤΟΣ",1,198,32.971,34.6332,9926,
KOURIO_EPISKOPI.kml,"KOURIO, EPISKOPI",5,212,5212,"KOURIO, EPISKOPI","ΚΟΥΡΙΟ, ΕΠΙΣΚΟΠΗ",1,733,32.8819,34.6745,30137,
KOURIO_ERIMI.kml,"KOURIO, ERIMI",5,211,5211,"KOURIO, ERIMI","ΚΟΥΡΙΟ, ΕΡΗΜΗ",1,407,32.9221,34.6863,17802,
KOURIO_KANTOU.kml,"KOURIO, KANTOU",5,213,5213,"KOURIO, KANTOU","ΚΟΥΡΙΟ, ΚΑΝΤΟΥ",1,752,32.9058,34.7095,30845,
KOURIO_KOLOSSI.kml,"KOURIO, KOLOSSI",5,210,5210,"KOURIO, KOLOSSI","ΚΟΥΡΙΟ, ΚΟΛΟΣΣΙ",1,686,32.9375,34.673,28359,
KOURIO_SOTIRA.kml,"KOURIO, SOTIRA",5,214,5214,"KOURIO, SOTIRA","ΚΟΥΡΙΟ, ΣΩΤΗΡΑ",1,933,32.8439,34.7004,37704,
KOURIO_TRACHONI.kml,"KOURIO, TRACHONI",5,203,5203,"KOURIO, TRACHONI","ΚΟΥΡΙΟ, ΤΡΑΧΩΝΙ",1,314,32.9597,34.6562,14317,
KOURIO_YPSONAS.kml,"KOURIO, YPSONAS",5,21,5021,"KOURIO, YPSONAS","ΚΟΥΡΙΟ, ΥΨΩΝΑΣ",1,1265,32.9493,34.7029,50243,
KOUROU_MONASTIRI.kml,KOUROU MONASTIRI,1,144,1144,KOUROU MONASTIRI,ΚΟΥΡΟΥ ΜΟΝΑΣΤΗΡΙ,1,521,33.5566,35.2247,22128,
KOUTSOVENTIS.kml,KOUTSOVENTIS,2,102,2102,KOUTSOVENTIS,ΚΟΥΤΣΟΒΕΝΤΗΣ,1,689,33.4185,35.2611,28482,
KRIDEIA.kml,KRIDEIA,3,335,3335,KRIDEIA,ΚΡΙΔΕΙΑ,1,565,33.9624,35.3888,23732,
KRINI.kml,KRINI,2,111,2111,KRINI,ΚΡΗΝΙ,1,927,33.2512,35.27,37401,
KRITOU_MAROTTOU.kml,KRITOU MAROTTOU,6,305,6305,KRITOU MAROTTOU,ΚΡΙΤΟΥ ΜΑΡΟΤΤΟΥ,1,904,32.5793,34.9459,36579,
KYNOUSA.kml,KYNOUSA,6,361,6361,KYNOUSA,ΚΥΝΟΥΣΑ,1,666,32.5114,35.0325,27554,
KYPEROUNTA.kml,KYPEROUNTA,5,369,5369,KYPEROUNTA,ΚΥΠΕΡΟΥΝΤΑ,1,938,32.9542,34.9416,37865,
KYRA.kml,KYRA,1,369,1369,KYRA,ΚΥΡΑ,1,508,33.0723,35.2161,21583,
LAGOUDERA.kml,LAGOUDERA,1,305,1305,LAGOUDERA,ΛΑΓΟΥΔΕΡΑ,1,924,33.0184,34.9733,37313,
LAKATAMEIA_LAKATAMEIA.kml,"LAKATAMEIA, LAKATAMEIA",1,21,1021,"LAKATAMEIA, LAKATAMEIA","ΛΑΚΑΤΑΜΕΙΑ, ΛΑΚΑΤΑΜEΙΑ",1,1998,33.3069,35.1119,77974,
LAKATAMEIA_SYN_ANTHOUPOLIS.kml,"LAKATAMEIA, SYN. ANTHOUPOLIS",1,22,1022,"LAKATAMEIA, SYN. ANTHOUPOLIS","ΛΑΚΑΤΑΜΕΙΑ, ΣΥΝ. ΑΝΘΟΥΠΟΛΗΣ",1,135,33.2894,35.1044,7616,
LAKATAMEIA_TSERI.kml,"LAKATAMEIA, TSERI",1,225,1225,"LAKATAMEIA, TSERI","ΛΑΚΑΤΑΜΕΙΑ, ΤΣΕΡΙ",1,1790,33.3314,35.0659,70050,
LANEIA.kml,LANEIA,5,312,5312,LANEIA,ΛΑΝΕΙΑ,1,810,32.9244,34.8187,33025,
LAPATHOS.kml,LAPATHOS,3,135,3135,LAPATHOS,ΛΑΠΑΘΟΣ,1,729,33.829,35.2724,29943,
LAPITHIOU.kml,LAPITHIOU,6,228,6228,LAPITHIOU,ΛΑΠΗΘΙΟΥ,1,405,32.5924,34.9029,17712,
LARNAKAS_LAPITHOU.kml,LARNAKAS LAPITHOU,2,221,2221,LARNAKAS LAPITHOU,ΛΑΡΝΑΚΑΣ ΛΑΠΗΘΟΥ,1,1130,33.1305,35.3022,45140,
LARNAKA_LARNAKA.kml,"LARNAKA, LARNAKA",4,0,4000,"LARNAKA, LARNAKA","ΛΑΡΝΑΚΑ, ΛΑΡΝΑΚΑ",1,2371,33.6255,34.912,92040,
LARNAKA_LIVADIA.kml,"LARNAKA, LIVADIA",4,11,4011,"LARNAKA, LIVADIA","ΛΑΡΝΑΚΑ, ΛΙΒΑΔΙΑ",1,548,33.6313,34.9537,23159,
LARNAKA_VOROKLINI.kml,"LARNAKA, VOROKLINI",4,102,4102,"LARNAKA, VOROKLINI","ΛΑΡΝΑΚΑ, ΒΟΡΟΚΛΗΝΗ",1,635,33.6584,34.9822,26438,
LASA.kml,LASA,6,307,6307,LASA,ΛΑΣΑ,1,497,32.5236,34.9352,21164,
LATSIA_GERI_GERI.kml,"LATSIA - GERI, GERI",1,24,1024,"LATSIA - GERI, GERI","ΛΑΤΣΙΑ - ΓΕΡΙ, ΓΕΡΙ",1,1261,33.4308,35.1059,50104,
LATSIA_GERI_LATSIA.kml,"LATSIA - GERI, LATSIA",1,23,1023,"LATSIA - GERI, LATSIA","ΛΑΤΣΙΑ - ΓΕΡΙ, ΛΑΤΣΙΑ",1,1037,33.3694,35.0957,41634,
LAZANIAS.kml,LAZANIAS,1,203,1203,LAZANIAS,ΛΑΖΑΝΙΑΣ,1,1106,33.2035,34.937,44187,
LEFKA.kml,LEFKA,1,435,1435,LEFKA,ΛΕΥΚΑ,1,1307,32.8311,35.0958,51792,
LEFKARA_DELIKIPOS.kml,"LEFKARA, DELIKIPOS",4,216,4216,"LEFKARA, DELIKIPOS","ΛΕΥΚΑΡΑ, ΔΕΛΙΚΗΠΟΣ",1,436,33.3469,34.9156,18938,
LEFKARA_KATO_LEFKARA.kml,"LEFKARA, KATO LEFKARA",4,310,4310,"LEFKARA, KATO LEFKARA","ΛΕΥΚΑΡΑ, ΚΑΤΩ ΛΕΥΚΑΡΑ",1,559,33.346,34.87,23586,
LEFKARA_KORNOS.kml,"LEFKARA, KORNOS",4,215,4215,"LEFKARA, KORNOS","ΛΕΥΚΑΡΑ, ΚΟΡΝΟΣ",1,675,33.3841,34.9112,27951,
LEFKARA_LAGEIA.kml,"LEFKARA, LAGEIA",4,314,4314,"LEFKARA, LAGEIA","ΛΕΥΚΑΡΑ, ΛΑΓΕΙΑ",1,740,33.2448,34.8439,30424,
LEFKARA_PANO_LEFKARA.kml,"LEFKARA, PANO LEFKARA",4,311,4311,"LEFKARA, PANO LEFKARA","ΛΕΥΚΑΡΑ, ΠΑΝΩ ΛΕΥΚΑΡΑ",1,1783,33.3171,34.8635,69824,
LEFKARA_SKARINOU.kml,"LEFKARA, SKARINOU",4,308,4308,"LEFKARA, SKARINOU","ΛΕΥΚΑΡΑ, ΣΚΑΡΙΝΟΥ",1,790,33.3566,34.8242,32302,
LEFKARA_VAVLA.kml,"LEFKARA, VAVLA",4,313,4313,"LEFKARA, VAVLA","ΛΕΥΚΑΡΑ, ΒΑΒΛΑ",1,1006,33.2747,34.8391,40465,
LEFKOSIA_AGIOS_DOMETIOS.kml,"LEFKOSIA, AGIOS DOMETIOS",1,10,1010,"LEFKOSIA, AGIOS DOMETIOS","ΛΕΥΚΩΣΙΑ, ΑΓΙΟΣ ΔΟΜΕΤΙΟΣ",1,1070,33.3084,35.1774,42920,
LEFKOSIA_AGLANTZIA.kml,"LEFKOSIA, AGLANTZIA",1,13,1013,"LEFKOSIA, AGLANTZIA","ΛΕΥΚΩΣΙΑ, ΑΓΛΑΝΤΖΙΑ",1,1261,33.4242,35.1497,50109,
LEFKOSIA_EGKOMI.kml,"LEFKOSIA, EGKOMI",1,11,1011,"LEFKOSIA, EGKOMI","ΛΕΥΚΩΣΙΑ, ΕΓΚΩΜΗ",1,521,33.3165,35.1541,22124,
LEFKOSIA_LEFKOSIA.kml,"LEFKOSIA, LEFKOSIA",1,0,1000,"LEFKOSIA, LEFKOSIA","ΛΕΥΚΩΣΙΑ, ΛΕΥΚΩΣΙΑ",1,1994,33.4114,35.1772,77819,
LEMESOS_LEMESOS.kml,"LEMESOS, LEMESOS",5,0,5000,"LEMESOS, LEMESOS","ΛΕΜΕΣΟΣ, ΛΕΜΕΣΟΣ",1,1904,33.0284,34.6841,74364,
LEMESOS_MESA_GEITONIA.kml,"LEMESOS, MESA GEITONIA",5,11,5011,"LEMESOS, MESA GEITONIA","ΛΕΜΕΣΟΣ, ΜΕΣΑ ΓΕΙΤΟΝΙΑ",1,764,33.0446,34.7084,31326,
LEMESOS_TSERKEZOI.kml,"LEMESOS, TSERKEZOI",5,202,5202,"LEMESOS, TSERKEZOI","ΛΕΜΕΣΟΣ, ΤΣΕΡΚΕΖΟΙ",1,255,32.9903,34.6436,12080,
LEMITHOU.kml,LEMITHOU,5,345,5345,LEMITHOU,ΛΕΜΙΘΟΥ,1,449,32.8079,34.9503,19367,
LEMONA.kml,LEMONA,6,128,6128,LEMONA,ΛΕΜΩΝΑ,1,574,32.5658,34.8549,24091,
LEMPA.kml,LEMPA,6,21,6021,LEMPA,ΛΕΜΠΑ,1,282,32.4023,34.8129,13055,
LEONARISSO.kml,LEONARISSO,3,345,3345,LEONARISSO,ΛΕΟΝΑΡΙΣΣΟ,1,951,34.1236,35.4626,38340,
LETYMVOU.kml,LETYMVOU,6,125,6125,LETYMVOU,ΛΕΤΥΜΒΟΥ,1,763,32.5226,34.8489,31250,
LIMNATIS.kml,LIMNATIS,5,109,5109,LIMNATIS,ΛΙΜΝΑΤΗΣ,1,1053,32.9461,34.7985,42202,
LIMNIA.kml,LIMNIA,3,123,3123,LIMNIA,ΛΙΜΝΙΑ,1,976,33.8534,35.1895,39293,
LINOU.kml,LINOU,1,415,1415,LINOU,ΛΗΝΟΥ,1,682,32.9015,35.076,28177,
LIVADI.kml,LIVADI,6,370,6370,LIVADI,ΛΙΒΑΔΙ,1,1610,32.6,35.0882,63188,
LIVADIA_AMMOCHOSTOU.kml,LIVADIA AMMOCHOSTOU,3,334,3334,LIVADIA AMMOCHOSTOU,ΛΙΒΑΔΙΑ ΑΜΜΟΧΩΣΤΟΥ,1,550,34.0369,35.398,23236,
LIVADIA_LEFKOSIAS.kml,LIVADIA LEFKOSIAS,1,307,1307,LIVADIA LEFKOSIAS,ΛΙΒΑΔΙΑ ΛΕΥΚΩΣΙΑΣ,1,587,33.0168,34.9509,24638,
LIVERA.kml,LIVERA,2,130,2130,LIVERA,ΛΙΒΕΡΑ,2,1449,32.9443,35.3851,57321,
LOFOU.kml,LOFOU,5,307,5307,LOFOU,ΛΟΦΟΥ,1,1280,32.8825,34.7983,50752,
LOUKROUNOU.kml,LOUKROUNOU,6,339,6339,LOUKROUNOU,ΛΟΥΚΡΟΥΝΟΥ,1,408,32.4693,34.9535,17842,
LOUROUKINA.kml,LOUROUKINA,1,110,1110,LOUROUKINA,ΛΟΥΡΟΥΚΙΝΑ,1,1308,33.4846,35.0206,51859,
LOUTROS.kml,LOUTROS,1,453,1453,LOUTROS,ΛΟΥΤΡΟΣ,1,558,32.7654,35.1565,23489,
LOUVARAS.kml,LOUVARAS,5,145,5145,LOUVARAS,ΛΟΥΒΑΡΑΣ,1,483,33.0362,34.8333,20666,
LYSOS.kml,LYSOS,6,320,6320,LYSOS,ΛΥΣΟΣ,1,3999,32.5794,35.0158,153407,
LYTHRAGKOMI.kml,LYTHRAGKOMI,3,343,3343,LYTHRAGKOMI,ΛΥΘΡΑΓΚΩΜΗ,1,557,34.1738,35.4635,23468,
LYTHRODONTAS.kml,LYTHRODONTAS,1,109,1109,LYTHRODONTAS,ΛΥΘΡΟΔΟΝΤΑΣ,1,967,33.2913,34.948,38943,
MAKRASYKA.kml,MAKRASYKA,3,112,3112,MAKRASYKA,ΜΑΚΡΑΣΥΚΑ,1,575,33.7529,35.0756,24140,
MALIA.kml,MALIA,5,324,5324,MALIA,ΜΑΛΙΑ,1,956,32.7665,34.8097,38513,
MALOUNTA.kml,MALOUNTA,1,208,1208,MALOUNTA,ΜΑΛΟΥΝΤΑ,1,941,33.1767,35.0435,37960,
MAMMARI.kml,MAMMARI,1,244,1244,MAMMARI,ΜΑΜΜΑΡΗ,1,920,33.2117,35.1851,37145,
MAMONIA.kml,MAMONIA,6,204,6204,MAMONIA,ΜΑΜΩΝΙΑ,1,715,32.6306,34.7666,29388,
MAMOUNTALI.kml,MAMOUNTALI,6,229,6229,MAMOUNTALI,ΜΑΜΟΥΝΤΑΛΗ,1,417,32.6082,34.9164,18184,
MANDRES_AMMOCHOSTOU.kml,MANDRES AMMOCHOSTOU,3,312,3312,MANDRES AMMOCHOSTOU,ΜΑΝΔΡΕΣ ΑΜΜΟΧΩΣΤΟΥ,1,817,33.8176,35.3367,33321,
MANDRES_LEFKOSIAS.kml,MANDRES LEFKOSIAS,1,132,1132,MANDRES LEFKOSIAS,ΜΑΝΔΡΕΣ,1,1177,33.3711,35.2256,46887,
MANDRIA.kml,MANDRIA,6,101,6101,MANDRIA,ΜΑΝΔΡΙΑ,1,356,32.5388,34.7112,15846,
MANDRIA_LEMESOU.kml,MANDRIA LEMESOU,5,328,5328,MANDRIA LEMESOU,ΜΑΝΔΡΙΑ ΛΕΜΕΣΟΥ,1,510,32.8326,34.8668,21716,
MANSOURA.kml,MANSOURA,1,467,1467,MANSOURA,ΜΑΝΣΟΥΡΑ,1,911,32.6282,35.1861,36835,
MARATHA.kml,MARATHA,3,215,3215,MARATHA,ΜΑΡΑΘΑ,1,189,33.7769,35.2053,9544,
MARATHOUNTA.kml,MARATHOUNTA,6,110,6110,MARATHOUNTA,ΜΑΡΑΘΟΥΝΤΑ,1,701,32.4949,34.7756,28931,
MARATHOVOUNOS.kml,MARATHOVOUNOS,3,234,3234,MARATHOVOUNOS,ΜΑΡΑΘΟΒΟΥΝΟΣ,1,1745,33.6339,35.2145,68366,
MARGI.kml,MARGI,1,224,1224,MARGI,ΜΑΡΓΙ,1,693,33.3275,35.0292,28561,
MARGO.kml,MARGO,1,123,1123,MARGO,ΜΑΡΓΟ,1,397,33.4857,35.1039,17393,
MARI.kml,MARI,4,301,4301,MARI,ΜΑΡΙ,1,780,33.2955,34.7307,31856,
MARONAS.kml,MARONAS,6,203,6203,MARONAS,ΜΑΡΩΝΑΣ,1,617,32.6693,34.7616,25718,
MARONI.kml,MARONI,4,306,4306,MARONI,ΜΑΡΩΝΙ,1,680,33.3708,34.7568,28093,
MASARI.kml,MASARI,1,366,1366,MASARI,ΜΑΣΑΡΗ,1,202,33.0765,35.185,10032,
MATHIATIS.kml,MATHIATIS,1,101,1101,MATHIATIS,ΜΑΘΙΑΤΗΣ,1,968,33.3391,34.9653,38984,
MAZOTOS.kml,MAZOTOS,4,120,4120,MAZOTOS,ΜΑΖΩΤΟΣ,1,622,33.4889,34.8012,25910,
MELADEIA.kml,MELADEIA,6,318,6318,MELADEIA,ΜΕΛΑΔΕΙΑ,1,656,32.5054,34.988,27199,
MELANARGA.kml,MELANARGA,3,351,3351,MELANARGA,ΜΕΛΑΝΑΡΓΑ,1,697,34.2025,35.5093,28763,
MELANDRA.kml,MELANDRA,6,319,6319,MELANDRA,ΜΕΛΑΝΔΡΑ,1,742,32.5286,34.9882,30422,
MELINI.kml,MELINI,4,316,4316,MELINI,ΜΕΛΙΝΗ,1,650,33.1568,34.8645,26960,
MELOUNTA.kml,MELOUNTA,3,305,3305,MELOUNTA,ΜΕΛΟΥΝΤΑ,1,586,33.6991,35.324,24566,
MELOUSEIA.kml,MELOUSEIA,4,203,4203,MELOUSEIA,ΜΕΛΟΥΣΕΙΑ,1,309,33.5832,35.0739,14094,
MENIKO.kml,MENIKO,1,368,1368,MENIKO,ΜΕΝΙΚΟ,1,1388,33.145,35.1019,54829,
MENOGEIA.kml,MENOGEIA,4,128,4128,MENOGEIA,ΜΕΝΟΓΕΙΑ,1,418,33.4351,34.8416,18212,
MESANA.kml,MESANA,6,214,6214,MESANA,ΜΕΣΑΝΑ,1,457,32.7084,34.846,19672,
MESA_CHORIO.kml,MESA CHORIO,6,24,6024,MESA CHORIO,ΜΕΣΑ ΧΩΡΙΟ,1,536,32.4667,34.8088,22656,
MESOGI.kml,MESOGI,6,25,6025,MESOGI,ΜΕΣΟΓΗ,1,808,32.4568,34.8135,32933,
MIA_MILIA.kml,MIA MILIA,1,131,1131,MIA MILIA,ΜΙΑ ΜΗΛΙΑ,1,1095,33.4223,35.2223,43821,
MILIA_AMMOCHOSTOU.kml,MILIA AMMOCHOSTOU,3,219,3219,MILIA AMMOCHOSTOU,ΜΗΛΙΑ ΑΜΜΟΧΩΣΤΟΥ,1,1499,33.7998,35.2272,59080,
MILIA_PAFOU.kml,MILIA PAFOU,6,304,6304,MILIA PAFOU,ΜΗΛΙΑ ΠΑΦΟΥ,1,421,32.5355,34.9123,18325,
MILIOU.kml,MILIOU,6,333,6333,MILIOU,ΜΗΛΙΟΥ,1,436,32.4606,34.9389,18872,
MITSERO.kml,MITSERO,1,213,1213,MITSERO,ΜΙΤΣΕΡΟ,1,1054,33.1237,35.0407,42213,
MONAGRI.kml,MONAGRI,5,314,5314,MONAGRI,ΜΟΝΑΓΡΙ,1,502,32.9151,34.7933,21384,
MONAGROULLI.kml,MONAGROULLI,5,127,5127,MONAGROULLI,ΜΟΝΑΓΡΟΥΛΛΙ,1,1099,33.2184,34.7435,43936,
MONARGA.kml,MONARGA,3,321,3321,MONARGA,ΜΟΝΑΡΓΑ,1,244,33.9444,35.3175,11624,
MONI.kml,MONI,5,128,5128,MONI,ΜΟΝΗ,1,657,33.2018,34.7283,27227,
MONIATIS.kml,MONIATIS,5,318,5318,MONIATIS,ΜΟΝΙΑΤΗΣ,1,654,32.9027,34.8801,27125,
MORA.kml,MORA,1,130,1130,MORA,ΜΟΡΑ,1,993,33.5397,35.1738,39920,
MOSFILI.kml,MOSFILI,1,468,1468,MOSFILI,ΜΟΣΦΙΛΙ,1,657,32.6269,35.1791,27240,
MOSFILOTI.kml,MOSFILOTI,4,212,4212,MOSFILOTI,ΜΟΣΦΙΛΩΤΗ,1,388,33.4312,34.952,17070,
MOTIDES.kml,MOTIDES,2,215,2215,MOTIDES,ΜΟΤΗΔΕΣ,1,346,33.2095,35.3312,15479,
MOUSERE.kml,MOUSERE,6,202,6202,MOUSERE,ΜΟΥΣΕΡΕ,1,695,32.7068,34.7642,28663,
MOUSOULITA.kml,MOUSOULITA,3,213,3213,MOUSOULITA,ΜΟΥΣΟΥΛΙΤΑ,1,476,33.6456,35.1936,20401,
MOUTOULLAS.kml,MOUTOULLAS,1,422,1422,MOUTOULLAS,ΜΟΥΤΟΥΛΛΑΣ,1,1095,32.8295,34.9813,43800,
MYLIKOURI.kml,MYLIKOURI,1,421,1421,MYLIKOURI,ΜΥΛΙΚΟΥΡΙ,1,2633,32.7205,34.9405,101892,
MYRTOU.kml,MYRTOU,2,126,2126,MYRTOU,ΜΥΡΤΟΥ,1,1455,33.074,35.3237,57366,
NATA.kml,NATA,6,113,6113,NATA,ΝΑΤΑ,1,644,32.5618,34.7767,26720,
NEO_CHORIO_LEFKOSIAS.kml,NEO CHORIO LEFKOSIAS,1,138,1138,NEO CHORIO LEFKOSIAS,ΝΕΟ ΧΩΡΙΟ ΛΕΥΚΩΣΙΑΣ,1,1625,33.4548,35.2254,63873,
NETA.kml,NETA,3,341,3341,NETA,ΝΕΤΑ,1,809,34.2222,35.4694,32952,
NIKITARI.kml,NIKITARI,1,322,1322,NIKITARI,ΝΙΚΗΤΑΡΙ,1,1613,32.9846,35.0651,63329,
NIKITAS.kml,NIKITAS,1,354,1354,NIKITAS,ΝΙΚΗΤΑΣ,1,611,32.9434,35.1847,25470,
NIKOKLEIA.kml,NIKOKLEIA,6,102,6102,NIKOKLEIA,ΝΙΚΟΚΛΕΙΑ,1,267,32.5713,34.73,12515,
NOTIA_L_SIA_IDALION_ALAMPRA.kml,"NOTIA L/SIA - IDALION, ALAMPRA",1,102,1102,"NOTIA L/SIA - IDALION, ALAMPRA","ΝΟΤΙΑ Λ/ΣΙΑ - ΙΔΑΛΙΟΝ, ΑΛΑΜΠΡΑ",1,961,33.409,34.9905,38817,
NOTIA_L_SIA_IDALION_IDALION.kml,"NOTIA L/SIA - IDALION, IDALION",1,107,1107,"NOTIA L/SIA - IDALION, IDALION","ΝΟΤΙΑ Λ/ΣΙΑ - ΙΔΑΛΙΟΝ, ΙΔΑΛΙΟΝ",1,2059,33.4118,35.0446,80283,
NOTIA_L_SIA_IDALION_LYMPIA.kml,"NOTIA L/SIA - IDALION, LYMPIA",1,108,1108,"NOTIA L/SIA - IDALION, LYMPIA","ΝΟΤΙΑ Λ/ΣΙΑ - ΙΔΑΛΙΟΝ, ΛΥΜΠΙΑ",1,1094,33.4613,34.984,43857,
NOTIA_L_SIA_IDALION_NISOU.kml,"NOTIA L/SIA - IDALION, NISOU",1,105,1105,"NOTIA L/SIA - IDALION, NISOU","ΝΟΤΙΑ Λ/ΣΙΑ - ΙΔΑΛΙΟΝ, ΝΗΣΟΥ",1,1368,33.3902,35.0372,54159,
NOTIA_L_SIA_IDALION_POTAMIA.kml,"NOTIA L/SIA - IDALION, POTAMIA",1,120,1120,"NOTIA L/SIA - IDALION, POTAMIA","ΝΟΤΙΑ Λ/ΣΙΑ - ΙΔΑΛΙΟΝ, ΠΟΤΑΜΙΑ",1,696,33.4516,35.0448,28822,
NOTIA_L_SIA_IDALION_P_CHORIO.kml,"NOTIA L/SIA - IDALION, P.CHORIO",1,106,1106,"NOTIA L/SIA - IDALION, P.CHORIO","ΝΟΤΙΑ Λ/ΣΙΑ - ΙΔΑΛΙΟΝ, Π.ΧΩΡΙΟ",1,1410,33.3751,35.0272,55785,
ODOU.kml,ODOU,4,317,4317,ODOU,ΟΔΟΥ,1,723,33.1579,34.8948,29702,
OIKOS.kml,OIKOS,1,423,1423,OIKOS,ΟΙΚΟΣ,1,448,32.8337,35.0042,19329,
OMODOS.kml,OMODOS,5,330,5330,OMODOS,ΟΜΟΔΟΣ,1,868,32.8055,34.8546,35190,
ORA.kml,ORA,4,315,4315,ORA,ΟΡΑ,1,1761,33.2308,34.8394,68932,
ORGA.kml,ORGA,2,226,2226,ORGA,ΟΡΓΑ,1,657,33.0309,35.3591,27210,
ORMIDEIA.kml,ORMIDEIA,4,106,4106,ORMIDEIA,ΟΡΜΙΔΕΙΑ,2,2153,33.7827,34.9863,84007,
OROUNTA.kml,OROUNTA,1,327,1327,OROUNTA,ΟΡΟΥΝΤΑ,1,1420,33.0767,35.0912,56050,
ORTAKIO_MINTZELI.kml,ORTAKIOΪ (MINTZELI),1,14,1014,ORTAKIOΪ (MINTZELI),ΟΡΤΑΚΙΟΪ (ΜΙΝΤΖΕΛΙ),1,651,33.331,35.2084,27048,
OVGOROS.kml,OVGOROS,3,327,3327,OVGOROS,ΟΒΓΟΡΟΣ,1,728,33.9406,35.3715,29907,
PACHNA.kml,PACHNA,5,308,5308,PACHNA,ΠΑΧΝΑ,1,917,32.7884,34.767,37038,
PACHYAMMOS.kml,PACHYAMMOS,1,461,1461,PACHYAMMOS,ΠΑΧΥΑΜΜΟΣ,1,1176,32.5854,35.1687,46823,
PAFOS.kml,PAFOS,6,0,6000,PAFOS,ΠΑΦΟΣ,1,4151,32.4179,34.7691,159211,
PALAICHORI_MORFOU.kml,PALAICHORI MORFOU,1,300,1300,PALAICHORI MORFOU,ΠΑΛΑΙΧΩΡΙ ΜΟΡΦΟΥ,1,1893,33.0898,34.9345,73987,
PALAICHORI_OREINIS.kml,PALAICHORI OREINIS,1,310,1310,PALAICHORI OREINIS,ΠΑΛΑΙΧΩΡΙ ΟΡΕΙΝΗΣ,1,2222,33.1096,34.9295,86386,
PALAIKYTHRO.kml,PALAIKYTHRO,1,133,1133,PALAIKYTHRO,ΠΑΛΑΙΚΥΘΡΟ,1,937,33.4904,35.1891,37817,
PALAIOMETOCHO.kml,PALAIOMETOCHO,1,241,1241,PALAIOMETOCHO,ΠΑΛΑΙΟΜΕΤΟΧΟ,1,2427,33.2082,35.1275,94104,
PALAIOMYLOS.kml,PALAIOMYLOS,5,341,5341,PALAIOMYLOS,ΠΑΛΑΙΟΜΥΛΟΣ,1,235,32.8218,34.9319,11313,
PALAIOSOFOS.kml,PALAIOSOFOS,2,214,2214,PALAIOSOFOS,ΠΑΛΑΙΟΣΟΦΟΣ,1,411,33.2105,35.3223,17961,
PALODEIA.kml,PALODEIA,5,100,5100,PALODEIA,ΠΑΛΟΔΕΙΑ,1,551,32.9892,34.7439,23228,
PANAGRA.kml,PANAGRA,2,224,2224,PANAGRA,ΠΑΝΑΓΡΑ,1,422,33.0678,35.3433,18341,
PANO_AKOURDALEIA.kml,PANO AKOURDALEIA,6,332,6332,PANO AKOURDALEIA,ΠΑΝΩ ΑΚΟΥΡΔΑΛΕΙΑ,1,371,32.4463,34.9413,16459,
PANO_ARCHIMANDRITA.kml,PANO ARCHIMANDRITA,6,200,6200,PANO ARCHIMANDRITA,ΠΑΝΩ ΑΡΧΙΜΑΝΔΡΙΤΑ,1,798,32.6744,34.7405,32622,
