file,name,DIST_CODE,VIL_CODE,VIL_CCD,VIL_NM_E,VIL_NM_G,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
DIORIOS.kml,DIORIOS,2,127,2127,DIORIOS,ΔΙΟΡΙΟΣ,1,1622,33.0301,35.3017,63671,
DORA.kml,DORA,5,320,5320,DORA,ΔΩΡΑ,1,981,32.7282,34.7795,39475,
DOROS.kml,DOROS,5,311,5311,DOROS,ΔΩΡΟΣ,1,812,32.9248,34.7989,33093,
DROMOLAXIA_MENEOU_D_XIA_MENEOU.kml,"DROMOLAXIA-MENEOU,D/XIA-MENEOU",4,14,4014,"DROMOLAXIA-MENEOU,D/XIA-MENEOU","ΔΡΟΜΟΛΑΞΙΑ-ΜΕΝΕΟΥ,Δ/ΞΙΑ-ΜΕΝΕΟΥ",1,897,33.594,34.8765,36388,
DROMOLAXIA_MENEOU_KITI.kml,"DROMOLAXIA - MENEOU, KITI",4,110,4110,"DROMOLAXIA - MENEOU, KITI","ΔΡΟΜΟΛΑΞΙΑ - ΜΕΝΕΟΥ, ΚΙΤΙ",1,485,33.5731,34.8459,20815,
DROMOLAXIA_MENEOU_PERIVOLIA.kml,"DROMOLAXIA - MENEOU, PERIVOLIA",4,111,4111,"DROMOLAXIA - MENEOU, PERIVOLIA","ΔΡΟΜΟΛΑΞΙΑ - ΜΕΝΕΟΥ, ΠΕΡΙΒΟΛΙΑ",1,445,33.589,34.8307,19328,
DROMOLAXIA_MENEOU_TERSEFANOU.kml,"DROMOLAXIA - MENEOU,TERSEFANOU",4,112,4112,"DROMOLAXIA - MENEOU,TERSEFANOU","ΔΡΟΜΟΛΑΞΙΑ - ΜΕΝΕΟΥ,ΤΕΡΣΕΦΑΝΟΥ",1,431,33.5496,34.8597,18794,
DRYMOU.kml,DRYMOU,6,308,6308,DRYMOU,ΔΡΥΜΟΥ,1,641,32.501,34.9226,26615,
DYMES.kml,DYMES,5,364,5364,DYMES,ΔΥΜΕΣ,1,740,32.9599,34.9278,30358,
DYO_POTAMOI.kml,DYO POTAMOI,1,249,1249,DYO POTAMOI,ΔΥΟ ΠΟΤΑΜΟΙ,1,327,33.084,35.2471,14766,
